Title,Company,Location,Description,Link
Jr. Data Scientist AI,"QTC Management, Inc.","San Antonio, TX","Job DetailsDescriptionThe Leidos QTC Health Services CTO team is seeking motivated and talented Jr. Data Scientists AI to join our dynamic team in support of the company’s overall IT modernization and corporate growth goals. As a Data Scientist AI, you will play a pivotal role in developing and implementing innovative AI solutions to drive business growth and improve operational efficiency.Hybrid/remote opportunities are available for candidates located or willing to be located within 2 hours driving distance of the following locations:San Antonio, TXOrlando, FLSan Dimas, CASan Diego, CAGaithersburg, MDColumbia, MDMinneapolis, MNReston, VAThe Leidos QTC Health Services CTO’s team has been charged with assessing our current capabilities and doing two things: One, find ways to leverage these capabilities with new customers and markets. Two, bring in new technology to make existing processes better (e.g., more efficient, more secure), or to bring in capabilities that are not part of our core that will benefit the company and its customers. This will be achieved in short, proof of concept projects that align to a larger roadmap of technical or contractual capabilities. The proof of concepts will take place in a pre-production environment but will include a path to production should the project prove valuable to the company. This is a great opportunity to learn about Leidos QTC Health Services and provide innovative thought into growing the company.Primary Responsibilities:Data Analysis and Exploration: Conduct in-depth data analysis to uncover valuable insights, identify patterns, and extract actionable information.Machine Learning Model Development: Develop and deploy machine learning models, including deep learning architectures, to address complex business problems.AI Solution Design: Design and implement AI-powered solutions that solve real-world challenges and deliver measurable value.Data Engineering: Collaborate with data engineers to ensure data quality, consistency, and accessibility for AI projects.Algorithm Evaluation and Optimization: Continuously evaluate and optimize AI models to improve performance and accuracy.Research and Development: Stay up-to-date with the latest advancements in AI and machine learning to drive innovation.Basic Qualifications:Bachelor's degree in Computer Science, Data Science, Statistics, or a related field w/ 0-2 years of related experience. (A combination of education/experience may also be considered)Strong foundation in machine learning algorithms, data mining techniques, and statistical modeling.Proficiency in programming languages such as Python, R, or Julia.Experience with popular machine learning frameworks like TensorFlow, PyTorch, or Scikit-learn.Familiarity with cloud platforms (e.g., AWS, GCP, Azure) and cloud-based machine learning services.Excellent problem-solving, analytical, and communication skills.Ability to work independently and as part of a collaborative team.Must be able to successfully pass National Agency Check with Inquiries (NACI) background investigation.Preferred Qualifications:Experience with natural language processing (NLP), computer vision, or reinforcement learning.Knowledge of big data technologies (e.g., Hadoop, Spark).Contributions to open-source AI projects or publications.What We Offer:Starting salary range: $65,000 - $80,000 w/ up to 7% bonus eligibilityCompetitive salary and benefits packageOpportunities for professional growth and developmentA collaborative and supportive work environmentCutting-edge technology and resourcesPay and benefits are fundamental to any career decision. That's why we craft compensation packages that reflect the importance of the work we do for our customers. As a result, we offer meaningful and engaging careers to support you and your career goals, all while nurturing a healthy work-life balance. Employment benefits include competitive compensation, Health and Wellness programs, Income Protection, Paid Leave and Retirement. More details are available here: Join Our Team | Jobs & Career Opportunities | Leidos QTC Health Services (qtcm.com)The Leidos QTC Health Services pay range for this job level is a general guideline only and not a guarantee of compensation or salary. Additional factors considered in extending an offer include (but are not limited to): geographic location, responsibilities of the job, education, experience, knowledge, skills, and abilities, as well as internal equity, alignment with market data, applicable bargaining agreement (if any), or other law.Leidos QTC Health Services. is a VEVRAA Federal contractor and an Equal Opportunity Employer. The company has an ongoing commitment to affirmative action and the creation of a workplace free of discrimination, harassment and retaliation. The company recruits, hires, trains, and promotes individuals in all job titles without regard to race, color, creed, religion, ancestry, national origin, age, sex, pregnancy, sexual orientation, gender identity, genetic information, people with disabilities protected under law, and protected veteran status. This job description supersedes all prior job descriptions and is intended to describe the general content and essential requirements for the position listed above. It is not to be construed as an exhaustive statement of requirements, duties and responsibilities. Management reserves the right to add or change the duties of this position as required at any time.",https://www.linkedin.com/jobs/view/jr-data-scientist-ai-at-qtc-management-inc-4041185242?position=1&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=z3Em19Mys0Y96NygzuCTfg%3D%3D
"Data Scientist Intern, Product Analytics",Meta,"New York, NY",N/A,https://www.linkedin.com/jobs/view/data-scientist-intern-product-analytics-at-meta-4043799157?position=2&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=3beTC4t8e%2BvoAs%2FNeTPPbg%3D%3D
Data Scientist - Marketing Agency,Boost Mobile,"Littleton, CO",N/A,https://www.linkedin.com/jobs/view/data-scientist-marketing-agency-at-boost-mobile-4027397616?position=3&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=FUA4L%2Bx%2FPWBTf2khY7ZsiQ%3D%3D
Data Scientist,SAS,United States,"Data Scientist - Remote or Hybrid  Nice to meet you! We’re a leader in data and AI. Through our software and services, we inspire customers around the world to transform data into intelligence - and questions into answers.We’re also a debt-free multi-billion-dollar organization on our path to IPO-readiness. If you're looking for a dynamic, fulfilling career coupled with flexibility and world-class employee experience, you'll find it here.About The JobThe Customer Analytics team within the CI 360 R&D organization at SAS is seeking a Data Scientist to develop advanced predictive models, AI-driven solutions, and cutting-edge recommender systems specifically for the marketing technology (martech) industry. The successful candidate will demonstrate robust analytical capabilities, proficiency in machine learning techniques, and a thorough understanding of data-driven decision-making processes.As a Data Scientist , You Will Collaborate with IT to prepare and manipulate structured and unstructured data for data discovery and mining from multiple disparate resources.  Build high-end analytic models, utilizing supervised and unsupervised learning models, to support decision makers with data driven insights that address immediate business problems and objectives.  Create informative visualizations that intuitively display large amounts of data and/or complex relationships; translates data analytics into coherent reports and presentations for internal and external customer with varying degrees of technical knowledge.  Routinely use anonymized or encrypted data.  Prototype solutions using varied resources, including SAS software and open source software. Required Qualifications Three (3) years of relevant experience such as analyzing data , building analytical and/or machine learning models.  Master’s degree in fields that include strong coverage of applied mathematics and statistics, computer science, engineering, or related fields. PhD in related field preferred.  Equivalent combination of related education, training and experience may be considered in place of the above qualifications.  Strong knowledge of applied statistics, probability, data modeling techniques, predictive modeling techniques and in-sample and out-of-sample model assessment.  Strong aptitude with at least two operating system supported by SAS software.  Ability to resolve problems with minimal management assistance, escalating when appropriate.  Ability to communicate with people of various technical backgrounds, think analytically, write and edit technical material, and relate statistical concepts and applications to statistical and non-statistical SAS users.  Business domain expertise in at least one industry or business area.  You’re curious, passionate, authentic and accountable. These are our values and influence everything we do. Preferred Qualifications Modeling experience with SAS and/or Python languages  Experience using cloud platforms such as AWS and Azure for model development and operationalization World-Class BenefitsHighlights include... Comprehensive medical, prescription, dental and vision plans.  Medical plan options include… PPO with low annual deductible and copays.  HDHP combined with a health savings account with a contribution from SAS (no access to on-site health care center).  Onsite Health Care Center (HQ) that’s free to employees and family members enrolled in the PPO plan. There’s a pharmacy too! Not local to HQ? The pharmacy will ship prescriptions for no additional charge!  An industry-leading 401k plan.  Generous time away including vacation time, a variety of paid holidays, and our much-loved U.S. Winter Wellness Break between December 25 and January 1.  Volunteer Time Off, parental leave and unlimited paid sick days.  Generous childcare benefits for all full-time employees  Diverse and Inclusive At SAS, it’s not about fitting into our culture – it’s about adding to it. We believe our people make the difference. Our diverse workforce brings together unique talents and inspires teams to create amazing software that reflects the diversity of our users and customers. Our commitment to diversity is a priority to our leadership, all the way up to the top; and it’s essential to who we are. To put it plainly: you are welcome here.Additional InformationTo qualify, applicants must be legally authorized to work in the United States, and should not require, now or in the future, sponsorship for employment visa status. SAS is an equal opportunity/Affirmative Action employer. All qualified applicants are considered for employment without regard to race, color, religion, gender, sexual orientation, gender identity, age, national origin, disability status, protected veteran status or any other characteristic protected by law. Read more: Know Your Rights . Also view the Pay Transparency notice.Resumes may be considered in the order they are received. SAS employees performing certain job functions may require access to technology or software subject to export or import regulations. To comply with these regulations, SAS may obtain nationality or citizenship information from applicants for employment. SAS collects this information solely for trade law compliance purposes and does not use it to discriminate unfairly in the hiring process.SAS only sends emails from verified “sas.com” email addresses and never asks for sensitive, personal information or money. If you have any doubts about the authenticity of any type of communication from, or on behalf of SAS, please contact Recruitingsupport@sas.com.#SAS #highlightedjob",https://www.linkedin.com/jobs/view/data-scientist-at-sas-4029520803?position=4&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=uIOFtcSyla%2FSp7qiMKy8zA%3D%3D
"Data Scientist Intern, Product Analytics",Meta,"Menlo Park, CA","As a Data Scientist Intern at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By applying your technical skills, analytical mindset, and product intuition to one of the richest data sets in the world, you will help define the experiences we build for billions of people and hundreds of millions of businesses around the world. You will collaborate on a wide array of product and business problems with a diverse set of cross-functional partners across Product, Engineering, Research, Data Engineering, Marketing, Sales, Finance and others. You will use data and analysis to identify and solve product development’s biggest challenges. You will influence product strategy and investment decisions with data, be focused on impact, and collaborate with other teams. Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the products we build bring value to people, businesses, and Meta. Analytics: You will focus on developing hypotheses and employ a diverse toolkit of rigorous analytical approaches, different methodologies, frameworks, and technical approaches to test them.Communication and influence: You won’t simply present data, but tell data-driven stories.Data Scientist Intern, Product Analytics Responsibilities:Perform large-scale data analysis to extract useful business insights.Identify actionable insights, suggest recommendations and influence the direction of the business by communicating results to cross-functional groups.Work closely with a Product Manager and Engineering team to proactively create rules and manage decisions.Classify leads so that the teams work on the most valuable cases.Suggest improvements in the tools and techniques to help scale the team and/or build 0->1 convictions on new initiatives. Model solutions around what delivers long-run user value to our usersMinimum Qualifications:Currently is in the process of obtaining a Bachelor’s and/or Master’s degree in Mathematics, Statistics, a relevant technical field, or equivalent practical experience.Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment.Preferred Qualifications:Curious, self-driven, analytical and excited to play with data.Ability to thrive in a fast paced work environment.Experience with data querying languages (e.g. SQL), scripting languages (e.g. Python), and/or statistical/mathematical software (e.g. R).Intent to return to a degree-program after the completion of the internship.About Meta:Meta builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. People who choose to build their careers by building with us at Meta help shape a future that will take us beyond what digital connection makes possible today—beyond the constraints of screens, the limits of distance, and even the rules of physics.Meta is proud to be an Equal Employment Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Meta participates in the E-Verify program in certain locations, as required by law. Please note that Meta may leverage artificial intelligence and machine learning technologies in connection with applications for employment.Meta is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.$7,188/month to $11,000/month + benefitsIndividual compensation is determined by skills, qualifications, experience, and location. Compensation details listed in this posting reflect the base hourly rate, monthly rate, or annual salary only, and do not include bonus, equity or sales incentives, if applicable. In addition to base compensation, Meta offers benefits. Learn more about  benefits  at Meta.",https://www.linkedin.com/jobs/view/data-scientist-intern-product-analytics-at-meta-4043793816?position=5&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=KiSgYV%2FpMnIIQ3oUJIIuww%3D%3D
"Data Scientist Intern, Product Analytics",Meta,"Burlingame, CA",N/A,https://www.linkedin.com/jobs/view/data-scientist-intern-product-analytics-at-meta-4043796448?position=6&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=nWtijMoqJh4xgjieLRCN6A%3D%3D
Data Scientist,Fractal,United States,"Fractal is a strategic AI partner to Fortune 500 companies with a vision to power every human decision in the enterprise. Fractal is building a world where individual choices, freedom, and diversity are the greatest assets; an ecosystem where human imagination is at the heart of every decision. Where no possibility is written off, only challenged to get better. We believe that a true Fractalite is the one who empowers imagination with intelligence. Fractal has been featured as a Great Place to Work by The Economic Times in partnership with the Great Place to Work® Institute and recognized as a ‘Cool Vendor’ and a ‘Vendor to Watch’ by Gartner.Please visit Fractal | Intelligence for Imagination for more information about Fractal.Role OverviewThe Artificial Intelligence and Machine Learning (AIML) group at Fractal Analytics is actively involved in helping Fortune 500 companies by enabling them to discover how they can leverage their data using advanced and sophisticated AI/ML algorithms for which we are looking for Data Scientists with the capability to work on independent statistical and machine learning research/ projects. If you are a problem solver curious about exploring new techniques and technologies in AIML space, then we would like to talk with you.Job ResponsibilitiesAbility to understand a problem statement and implement analytical solutions and techniques independently, proactively, and with thought leadership.Work with organizational stakeholders to identify opportunities for leveraging company/client data to drive business solutions.Fast learner: ability to learn and quickly learn a new language/tool/ platform.Conceptualize, design, and deliver high-quality solutions and insightful analysis.Conduct research and prototyping innovations, data and requirements gathering, solution scoping and architecture, and consulting clients and clients-facing teams on advanced statistical and machine learning problems.Collaborate and Coordinate with different functional teams (engineering and product development) to implement models and monitor outcomes.Ability to deliver AIML-based solutions around a host of domains and problems, with some of them being Customer Segmentation & Targeting, Propensity Modeling, Churn Modeling, Lifetime Value Estimation, Forecasting, Recommender Systems, Modeling Response to Incentives, Marketing Mix Optimization, Price OptimizationExperience RequiredExpert level proficiency in at least one of R and Python with a focus on object-oriented programming.Ability to create efficient solutions to complex problems. Strong skills in data-structures and ML algorithms.Demonstrable understanding of machine learning techniques and their practical applications.Excellent collaboration and communication skills.A team player with a proactive approach to problem-solving.Familiarity with NLP and text analysis.Experience working on end-to-end data science pipeline: problem scoping, data gathering, EDA, modeling, insights, visualizations, monitoring, and maintenance.Problem-solving: Ability to break the problem into small parts and apply relevant techniques to drive required outcomes.Intermediate to advanced knowledge of machine learning, probability theory, statistics, and algorithms. You will be required to discuss and use various algorithms and approaches daily.We use regression, Bayesian methods, tree-based learners, SVM, RF, XGBOOST, time series modeling, dimensionality reduction, SEM, GLM, GLMM, clustering, Deep learning etc. regularly. If you know a few of them, you are good to go.Good to Have:Experience in upcoming technologies like deep learning, NLP, image processing, and recommender systems.Experience working in one or more domains:CPG - pricing and promotion analytics, marketing analytics, trade promotions, supply chain managementBFSI - cross-sell, up-sell, campaign analytics, treasury analytics, fraud detectionHealthcare - medical adherence, medical risk profiling, EHR data, fraud-waste-abuseExperience working with Linux computing environment and using command line tools like sed/awk.Good grasp of databases, including RDBMS, NoSQL, MongoDB, etc.Pay:The wage range for this role takes into account the wide range of factors that are considered in making compensation decisions, including but not limited to skill sets; experience and training; licensure and certifications; and other business and organizational needs. The disclosed range estimate has not been adjusted for the applicable geographic differential associated with the location at which the position may be filled. At Fractal, it is not typical for an individual to be hired at or near the top of the range for their role and compensation decisions are dependent on the facts and circumstances of each case. A reasonable estimate of the current range is: $90,000 to $130,000. In addition, you may be eligible for a discretionary bonus for the current performance period.Benefits:As a full-time employee of the company or as an hourly employee working more than 30 hours perweek, you will be eligible to participate in the health, dental, vision, life insurance, and disability plans in accordance with the plan documents, which may be amended from time to time. You will be eligible for benefits on the first day of employment with the Company. In addition, you are eligible to participate in the Company 401(k) Plan after 30 days of employment, in accordance with the applicable plan terms. The Company provides for 11 paid holidays and 12 weeks of Parental Leave. We also follow a “free time” PTO policy, allowing you the flexibility to take the time needed for either sick time or vacation.Fractal provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.",https://www.linkedin.com/jobs/view/data-scientist-at-fractal-4044388657?position=7&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=iDQoiPB6k3FExqeXiMAgdQ%3D%3D
"Staff Data Scientist, Strategy & Insights",LinkedIn,"Sunnyvale, CA",N/A,https://www.linkedin.com/jobs/view/staff-data-scientist-strategy-insights-at-linkedin-4039501251?position=8&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=ZrgAZRUk1ySiuKOIsa%2FnMQ%3D%3D
Senior Data Scientist - Strategy & Insights,LinkedIn,"Sunnyvale, CA",N/A,https://www.linkedin.com/jobs/view/senior-data-scientist-strategy-insights-at-linkedin-4039095787?position=9&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=74gR0UFVQpMvTO%2B%2FmX5I%2Fw%3D%3D
"Data Scientist, Algorithms, Fulfilment",Lyft,"New York, NY","At Lyft, our mission is to improve people’s lives with the world’s best transportation. To do this, we start with our own community by creating an open, inclusive, and diverse organization.Data Science is central to Lyft's products and decision-making. As a Data Scientist on the cross-functional team, you will work in a dynamic environment, tackling a variety of problems from shaping critical business decisions to building algorithms that power our products. We seek passionate, driven Data Scientists to address some of the most interesting and impactful problems in ridesharing.As a Data Scientist specializing in Algorithms, you will develop mathematical models for the platform's core services, addressing diverse problems in optimization, prediction, machine learning, and inference. On the Fulfillment team, you will report to a Team Manager overseeing Data Scientists, Data Analysts, Machine Learning Engineers and Software Engineers. You will collaborate with cross-functional teammates and stakeholders to enhance algorithms for matching rideshare supply and demand in real time and develop product offerings to improve the experiences of Lyft Riders and Drivers.Responsibilities:Partner with Engineers, Product Managers, and Business Partners to frame problems, both mathematically and within the business context.Perform exploratory data analysis to gain a deeper understanding of the problemConstruct and fit statistical, machine learning, or optimization modelsWrite production modeling code; collaborate with Software Engineers to implement algorithms in productionDesign and run both simulated and live traffic experimentsAnalyze experimental and observational data; communicate findings; facilitate launch decisionsExperience:M.S. or Ph.D. in Statistics, Operations Research, Mathematics, Computer Science, or other quantitative fields2+ years professional experiencePassion for solving unstructured and non-standard mathematical problemsEnd-to-end experience with data, including querying, aggregation, analysis, and visualizationProficiency with Python, or another interpreted programming language like R or MatlabWillingness to collaborate and communicate with others to solve a problemBenefitsGreat medical, dental, and vision insurance optionsMental health benefitsFamily building benefitsIn addition to 12 observed holidays, salaried team members have unlimited paid time off, hourly team members have 15 days paid time off401(k) plan to help save for your future18 weeks of paid parental leave. Biological, adoptive, and foster parents are all eligiblePre-tax commuter benefitsLyft Pink - Lyft team members get an exclusive opportunity to test new benefits of our Ridership ProgramLyft is an equal opportunity/affirmative action employer committed to an inclusive and diverse workplace. All qualified applicants will receive consideration for employment without regards to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status or any other basis prohibited by law. We also consider qualified applicants with criminal histories consistent with applicable federal, state and local law.This role will be in-office on a hybrid schedule — Team Members will be expected to work in the office 3 days per week on Mondays, Thursdays and a team-specific third day. Additionally, hybrid roles have the flexibility to work from anywhere for up to 4 weeks per year. #HybridThe expected base pay range for this position in the New York City area is $124,000 - $155,000. Salary ranges are dependent on a variety of factors, including qualifications, experience and geographic location. Range is not inclusive of potential equity offering, bonus or benefits. Your recruiter can share more information about the salary range specific to your working location and other factors during the hiring process.",https://www.linkedin.com/jobs/view/data-scientist-algorithms-fulfilment-at-lyft-4044973307?position=10&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=jkSScP%2FY9Wi6hYa8scPJhw%3D%3D
